cod_reg;nom_reg;cod_pro;nom_pro;cod_com;nom_com;cod_deprov;nom_deprov;prom_lect4b_com;prom_mate4b_com;dif_lect4b_com;dif_mate4b_com;sigdif_lect4b_com;sigdif_mate4b_com;fecha_bbdd;codigo_bbdd;grado;agno
6;Región del Libertador Bernardo O'higgins;61;Cachapoal;6104;Coltauco;61;Cachapoal;272;259;8;7;0;0;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;61;Cachapoal;6105;Doñihue;61;Cachapoal;273;272;7;19;0;1;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;61;Cachapoal;6106;Graneros;61;Cachapoal;263;250;11;17;1;1;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;63;Colchagua;6308;Placilla;62;Colchagua;254;241;-7;-3;0;0;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;63;Colchagua;6309;Pumanque;62;Colchagua;269;243;14;4;1;0;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;63;Colchagua;6310;Santa Cruz;62;Colchagua;282;276;9;13;1;1;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;63;Colchagua;6302;Chépica;62;Colchagua;278;267;20;17;1;1;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;63;Colchagua;6303;Chimbarongo;62;Colchagua;266;258;8;14;1;1;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;63;Colchagua;6304;Lolol;62;Colchagua;246;246;-8;0;0;0;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;63;Colchagua;6305;Nancagua;62;Colchagua;277;266;11;15;1;1;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;63;Colchagua;6306;Palmilla;62;Colchagua;267;255;25;28;1;1;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;63;Colchagua;6307;Peralillo;62;Colchagua;255;246;9;10;0;1;20240418;final20240418v1;4b;2023
