rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect4b_rbd;nalu_mate4b_rbd;prom_lect4b_rbd;prom_mate4b_rbd;dif_lect4b_rbd;dif_mate4b_rbd;difgru_lect4b_rbd;difgru_mate4b_rbd;sigdif_lect4b_rbd;sigdif_mate4b_rbd;siggru_lect4b_rbd;siggru_mate4b_rbd;marca_lect4b_rbd;marca_mate4b_rbd;marcadif_lect4b_rbd;marcadif_mate4b_rbd;palu_eda_ins_lect4b_rbd;palu_eda_ele_lect4b_rbd;palu_eda_ade_lect4b_rbd;palu_eda_ins_mate4b_rbd;palu_eda_ele_mate4b_rbd;palu_eda_ade_mate4b_rbd;noaplica;fecha_bbdd;codigo_bbdd;grado;agno
2325;6;COLEGIO RAÚL RAMÍREZ MAYOL;6;DEL LIBERTADOR BERNARDO OHIGGINS;61;CACHAPOAL;6114;QUINTA DE TILCOCO;61;Cachapoal;2;1;2;2;10;11;235;240;-22;49;-25;-7;0;1;-1;0;;;;;50.0;30.0;20.0;54.5;27.3;18.2;0;20240418;final20240418v1;4b;2023
25047;3;ESCUELA ANTILHUE DE PUDAHUEL;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13124;PUDAHUEL;134;Poniente;6;4;2;1;62;85;265;247;-6;-8;5;0;0;0;0;0;;;;;33.9;25.8;40.3;43.5;48.2;8.2;0;20240418;final20240418v1;4b;2023
26129;7;ESCUELA BAS. MARIA JESUS;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13123;PROVIDENCIA;133;Oriente;4;3;5;1;11;11;324;269;;;22;-23;;;1;-1;;;2;2;9.1;9.1;81.8;36.4;27.3;36.4;0;20240418;final20240418v1;4b;2023
2866;5;ESCUELA VILLA PRAT;7;DEL MAULE;73;CURICÓ;7307;SAGRADA FAMILIA;71;Curico;2;1;2;1;23;23;285;270;15;21;25;23;0;1;1;1;;;;;8.7;43.5;47.8;21.7;52.2;26.1;0;20240418;final20240418v1;4b;2023
3776;1;ESCUELA QUILELTO;16;DE ÑUBLE;163;PUNILLA;16301;SAN CARLOS;161;Diguillín;2;1;1;2;1;1;;;;;;;;;;;1;1;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
4317;6;ESCUELA LOS AROMOS;8;DEL BIOBÍO;83;BIOBÍO;8312;TUCAPEL;82;Bio Bio;2;1;1;2;3;3;298;249;;;;;;;;;;;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
4858;5;ESCUELA BASICA CORONEY;8;DEL BIOBÍO;81;CONCEPCIÓN;8111;TOMÉ;83;Concepcion;2;1;1;2;0;1;;;;;;;;;;;1;1;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
8276;7;ESCUELA RURAL PIEDRA BLANCA;10;DE LOS LAGOS;102;CHILOÉ;10208;QUELLÓN;102;Chiloe;1;1;2;2;2;2;280;191;;;;;;;;;;;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
9727;6;ESCUELA CIUDAD DE BARCELONA;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13121;PEDRO AGUIRRE CERDA;131;Centro;2;1;2;1;21;21;239;238;-17;-9;-21;-9;0;0;-1;-1;;;;;52.4;23.8;23.8;47.6;42.9;9.5;0;20240418;final20240418v1;4b;2023
10251;2;LICEO POETA FEDERICO GARCIA LORCA;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13104;CONCHALÍ;137;Norte;1;1;2;1;30;31;225;222;-38;-24;-35;-25;-1;-1;-1;-1;;;;;66.7;16.7;16.7;71.0;25.8;3.2;0;20240418;final20240418v1;4b;2023
