agno|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|cod_deprov_rbd|nom_deprov_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect4b_rbd|nalu_mate4b_rbd|prom_lect4b_rbd|prom_mate4b_rbd|dif_lect4b_rbd|dif_mate4b_rbd|difgru_lect4b_rbd|difgru_mate4b_rbd|sigdif_lect4b_rbd|sigdif_mate4b_rbd|siggru_lect4b_rbd|siggru_mate4b_rbd|marca_lect4b_rbd|marca_mate4b_rbd|marcadif_lect4b_rbd|marcadif_mate4b_rbd|palu_eda_ins_lect4b_rbd|palu_eda_ele_lect4b_rbd|palu_eda_ade_lect4b_rbd|palu_eda_ins_mate4b_rbd|palu_eda_ele_mate4b_rbd|palu_eda_ade_mate4b_rbd|noaplica|fecha_bbdd|codigo_bbdd
2022|4b|41|8|ESCUELA VALLE DE CHACA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|151|Arica|6|4|2|2|10|10|236|220|1|17|-19|-18|0|0|-1|-1|||||70|10|20|70|30|0|0|20231017|final20231017v2
2022|4b|7572|8|COLEGIO SAGRADA FAMILIA|10|DE LOS LAGOS|103|OSORNO|10305|RÍO NEGRO|103|Osorno|3|2|3|1|34|35|267|239|4|2|0|-10|0|0|0|-1|||||23.5|41.2|35.3|57.1|37.1|5.7|0|20231017|final20231017v2
2022|4b|7074|2|ESCUELA RURAL CACIQUE AILLAPAN|14|DE LOS RÍOS|141|VALDIVIA|14108|PANGUIPULLI|141|Valdivia|1|1|3|2|2|2|275|239|0|0|0|0|0|0|0|0|||1|1|||||||0|20231017|final20231017v2
2022|4b|4879|8|ESCUELA BASICA PUENTE SIETE|8|DEL BIOBÍO|81|CONCEPCIÓN|8104|FLORIDA|83|Concepcion|6|4|2|2|5|5|256|227|0|0|0|0|0|0|0|0|||1|1|||||||0|20231017|final20231017v2
2022|4b|24206|3|CENTRO INTEGRAL DE EDUCACIÓN ALBORADA|11|DE AYSÉN DEL GENERAL CARL|111|COYHAIQUE|11101|COYHAIQUE|111|Coyhaique|3|2|3|1|111|112|271|256|-18|-32|4|7|-1|-1|0|1|||||26.1|32.4|41.4|39.3|44.6|16.1|0|20231017|final20231017v2
2022|4b|25288|3|ESC. BAS. Y ESP. CENTRO INTEGRAL ALTAIR DE B|13|METROPOLITANA DE SANTIAGO|133|CHACABUCO|13302|LAMPA|137|Norte|3|2|3|1|49|45|262|238|31|-3|-5|-11|1|0|0|-1|||||38.8|26.5|34.7|51.1|37.8|11.1|0|20231017|final20231017v2
2022|4b|1570|9|ESCUELA BASICA CIRUJANO VIDELA|5|DE VALPARAÍSO|51|VALPARAÍSO|5101|VALPARAÍSO|53|Valparaiso - Isla de Pascua|6|4|2|1|23|22|248|226|7|-20|-7|-12|0|-1|0|-1|||||43.5|39.1|17.4|68.2|31.8|0|0|20231017|final20231017v2
2022|4b|2566|6|ESCUELA MUNICIPAL DE CUNACO|6|DEL LIBERTADOR BERNARDO O|63|COLCHAGUA|6305|NANCAGUA|62|Colchagua|6|4|1|2|18|18|286|262|3|-9|41|34|0|0|1|1|||||16.7|27.8|55.6|38.9|33.3|27.8|0|20231017|final20231017v2
2022|4b|2652|2|ESCUELA CIRUELOS|6|DEL LIBERTADOR BERNARDO O|62|CARDENAL CA|6201|PICHILEMU|63|Cardenal Caro|2|1|3|2|4|4|274|277|0|0|0|0|0|0|0|0|||1|1|||||||0|20231017|final20231017v2
2022|4b|7372|5|ESCUELA RURAL CANCHA LARGA|10|DE LOS LAGOS|103|OSORNO|10301|OSORNO|103|Osorno|2|1|1|2|8|8|263|248|0|0|18|20|0|0|1|1|||1|1|||||||0|20231017|final20231017v2
