agno|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect4b_rbd|nalu_mate4b_rbd|prom_lect4b_rbd|prom_mate4b_rbd|dif_lect4b_rbd|dif_mate4b_rbd|difgru_lect4b_rbd|difgru_mate4b_rbd|sigdif_lect4b_rbd|sigdif_mate4b_rbd|siggru_lect4b_rbd|siggru_mate4b_rbd|marca_lect4b_rbd|marca_mate4b_rbd|marcadif_lect4b_rbd|marcadif_mate4b_rbd|palu_eda_ins_lect4b_rbd|palu_eda_ele_lect4b_rbd|palu_eda_ade_lect4b_rbd|palu_eda_ins_mate4b_rbd|palu_eda_ele_mate4b_rbd|palu_eda_ade_mate4b_rbd|noaplica
2017|4b|3329|4|ESCUELA MAULE SUR|7|DEL MAULE|3|LINARES|3|COLBÚN|2|1|2|2|22|22|262|250|12|9|6|2|0|0|0|0|||||36.4|36.4|27.3|36.4|40.9|22.7|0
2017|4b|4190|4|LICEO SANTA FE|8|DEL BIOBÍO|2|BIOBÍO|1|LOS ÁNGELES|2|1|2|2|33|34|256|227|3|-1|0|-21|0|0|0|-1|||||36.4|36.4|27.3|58.8|35.3|5.9|0
2017|4b|7977|4|ESCUELA RURAL LOS LINARES DE CASMA|10|DE LOS LAGOS|3|LLANQUIHUE|9|FRUTILLAR|2|1|1|2|25|25|243|206|18|-14|-7|-32|1|0|0|-1|||||56|20|24|76|24|0|0
2017|4b|25510|6|ESCUELA ESPECIAL DESPERTAR DE LO ESPEJO|13|METROPOLITANA DE SANTIAGO|1|SANTIAGO|23|LO ESPEJO|3|2|2|1|14|14|225|244|-21|14|-31|-4|0|0|-1|0|||||64.3|7.1|28.6|50|28.6|21.4|0
2017|4b|2198|9|COLEGIO LA MERCED|6|DEL LIBERTADOR BERNARDO OHIGGINS|1|CACHAPOAL|1|RANCAGUA|4|3|5|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1|||||||0
2017|4b|2765|0|ESCUELA RAMON FREIRE|7|DEL MAULE|1|CURICÓ|1|CURICÓ|2|1|2|2|8|8|242|238|0|0|-14|-10|0|0|0|0|||1|1|||||||0
2017|4b|3429|0|ESCUELA LA FORTUNA|7|DEL MAULE|3|LINARES|5|PARRAL|2|1|1|2|2|2|204|184|0|0|0|0|0|0|0|0|||1|1|||||||0
2017|4b|10588|0|ESCUELA CARDENAL ANTONIO SAMORE|13|METROPOLITANA DE SANTIAGO|4|MAIPO|1|SAN BERNARDO|1|1|2|2|51|51|243|236|4|15|-13|-12|0|1|-1|-1|||||52.9|21.6|25.5|60.8|25.5|13.7|0
2017|4b|1265|3|ESCUELA BASICA BERNARDO O HIGGINS R.|5|DE VALPARAÍSO|3|SAN FELIPE DE ACONCAGUA|1|SAN FELIPE|2|1|2|1|25|22|248|217|33|15|-8|-31|1|0|0|-1|||||44|40|16|72.7|27.3|0|0
2017|4b|3257|3|ESCUELA ALEJANDRO GIDI|7|DEL MAULE|3|LINARES|1|LINARES|2|1|1|1|10|10|257|268|9|5|7|30|0|0|0|1|||||50|30|20|10|80|10|0
2017|4b|12085|5|COLEGIO CRISTIANO EMMANUEL|13|METROPOLITANA DE SANTIAGO|1|SANTIAGO|14|LA FLORIDA|3|2|3|1|31|31|259|268|-7|-21|-11|6|0|-1|-1|0|||||35.5|35.5|29|25.8|48.4|25.8|0
2017|4b|25487|8|COLEGIO  MANQUECURA VALLE LO CAMPINO|13|METROPOLITANA DE SANTIAGO|1|SANTIAGO|32|QUILICURA|4|3|5|1|124|124|295|292|18|-16|-8|-5|1|-1|-1|-1|||||10.5|29.8|59.7|9.7|44.4|46|0
2017|4b|24654|9|ESCUELA BASICA CINCO PINOS|13|METROPOLITANA DE SANTIAGO|4|MAIPO|1|SAN BERNARDO|1|1|2|1|8|8|275|243|22|24|19|-5|1|1|1|0|||||||||||0
2017|4b|160|0|ESCUELA PACHICA|1|DE TARAPACÁ|4|TAMARUGAL|2|HUARA|2|1|2|2|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1|||||||0
2017|4b|3947|0|ESCUELA PANGAL DEL LAJA|8|DEL BIOBÍO|1|ÑUBLE|9|YUNGAY|2|1|1|2|3|3|191|208|0|0|0|0|0|0|0|0|||1|1|||||||0
2017|4b|1414|1|COLEGIO LEONARDO DA VINCI|5|DE VALPARAÍSO|4|QUILLOTA|2|LA CRUZ|2|1|2|1|16|17|258|260|14|8|2|12|0|0|0|1|||||37.5|31.3|31.3|47.1|29.4|23.5|0
2017|4b|3406|1|ESCUELA CARLOS ZINIGA FUENTES|7|DEL MAULE|3|LINARES|5|PARRAL|2|1|1|2|1|1|0|0|0|0|0|0|0|0|0|0|1|1|2|2|||||||0
2017|4b|12775|2|INSTITUTO  DOMINGO  EYZAGUIRRE|13|METROPOLITANA DE SANTIAGO|4|MAIPO|1|SAN BERNARDO|3|2|3|1|34|35|264|246|30|18|-6|-16|1|1|0|-1|||||35.3|29.4|35.3|42.9|48.6|8.6|0
2017|4b|25218|2|EXTREMADURA DE PUENTE ALTO|13|METROPOLITANA DE SANTIAGO|3|CORDILLERA|1|PUENTE ALTO|3|2|4|1|80|80|285|282|4|-9|0|5|0|0|0|1|||||15|31.3|53.8|15|53.8|31.3|0
2017|4b|9947|3|COLEGIO INDUSTRIAL PART. DON ORIONE|13|METROPOLITANA DE SANTIAGO|1|SANTIAGO|25|CERRILLOS|3|2|4|1|88|89|278|273|-2|-1|-7|-4|0|0|-1|0|||||26.1|28.4|45.5|20.2|53.9|25.8|0
2017|4b|12652|7|COLEGIO SANTO DOMINGO SAVIO|1|DE TARAPACÁ|3|IQUIQUE|7|ALTO HOSPICIO|3|2|3|1|82|85|248|245|-15|-3|-22|-17|-1|0|-1|-1|||||39|35.4|25.6|49.4|42.4|8.2|0
2017|4b|12111|8|COLEGIO POLIV. PDTE. JOSE MANUEL BALMACEDA|13|METROPOLITANA DE SANTIAGO|4|MAIPO|1|SAN BERNARDO|3|2|3|1|43|42|249|248|-16|-12|-21|-14|-1|0|-1|-1|||||44.2|37.2|18.6|42.9|38.1|19|0
2017|4b|10611|9|COLEGIO AMERICAN ACADEMY|13|METROPOLITANA DE SANTIAGO|4|MAIPO|1|SAN BERNARDO|3|2|4|1|92|92|293|284|0|-12|8|7|0|-1|1|1|||||9.8|30.4|59.8|14.1|51.1|34.8|0
2017|4b|12603|9|LICEO LOS CONDORES|1|DE TARAPACÁ|3|IQUIQUE|7|ALTO HOSPICIO|3|2|3|1|72|71|284|286|1|-2|14|24|0|0|1|1|||||13.9|41.7|44.4|15.5|47.9|36.6|0
2017|4b|1714|0|ESCUELA SANTA MARIA DE AGUA SANTA|5|DE VALPARAÍSO|5|VALPARAÍSO|2|VIÑA DEL MAR|1|1|2|1|4|4|205|224|0|0|0|0|0|0|0|0|||1|1|||||||0
