agno	grado	rbd	dvrbd	nom_rbd	cod_reg_rbd	nom_reg_rbd	cod_pro_rbd	nom_pro_rbd	cod_com_rbd	nom_com_rbd	cod_deprov_rbd	nom_deprov_rbd	cod_depe1	cod_depe2	cod_grupo	cod_rural_rbd	nalu_lect4b_rbd	nalu_mate4b_rbd	prom_lect4b_rbd	prom_mate4b_rbd	dif_lect4b_rbd	dif_mate4b_rbd	difgru_lect4b_rbd	difgru_mate4b_rbd	sigdif_lect4b_rbd	sigdif_mate4b_rbd	siggru_lect4b_rbd	siggru_mate4b_rbd	marca_lect4b_rbd	marca_mate4b_rbd	marcadif_lect4b_rbd	marcadif_mate4b_rbd	palu_eda_ins_lect4b_rbd	palu_eda_ele_lect4b_rbd	palu_eda_ade_lect4b_rbd	palu_eda_ins_mate4b_rbd	palu_eda_ele_mate4b_rbd	palu_eda_ade_mate4b_rbd	noaplica	fecha_bbdd	codigo_bbdd
2018	4b	22558	4	ESCUELA NUEVA COLLILELFU	14	Región de Los Ríos	141	VALDI	14104	Los L	141	VALDI	2	1	2	1	24	23	251	259	27	44	-8	11	1	1	0	1					50	25	25	39.1	34.8	26.1	0	20190628	final20190628v1
2018	4b	22560	6	COLEGIO COLONOS DE ALERCE	10	Región de Los Lagos	101	LLANQ	10101	Puert	101	LLANQ	3	2	2	1	64	67	305	296	22	17	46	48	1	1	1	1					6.3	25	68.8	11.9	37.3	50.7	0	20190628	final20190628v1
2018	4b	22561	4	COLEGIO ESTRELLA DE BELEN	10	Región de Los Lagos	101	LLANQ	10102	Calbu	101	LLANQ	3	2	2	1	26	27	239	231	-21	-28	-20	-17	-1	-1	-1	-1					46.2	42.3	11.5	63	25.9	11.1	0	20190628	final20190628v1
2018	4b	22565	7	COLEGIO EL PILAR	10	Región de Los Lagos	102	CHILO	10202	Ancud	102	CHILO	3	2	3	1	74	74	293	260	13	-9	21	-1	1	0	1	0					10.8	29.7	59.5	32.4	43.2	24.3	0	20190628	final20190628v1
2018	4b	22566	5	ESCUELA PARTICULAR BICENTENARIO	10	Región de Los Lagos	101	LLANQ	10101	Puert	101	LLANQ	3	2	2	2	35	34	255	239	51	24	-4	-9	1	1	0	-1					45.7	11.4	42.9	58.8	32.4	8.8	0	20190628	final20190628v1
2018	4b	22581	9	COLEGIO RAICES DE LEMUY	10	Región de Los Lagos	102	CHILO	10206	Puque	102	CHILO	3	2	3	2	13	12	258	233	37	9	-14	-28	1	0	-1	-1					23.1	46.2	30.8	58.3	33.3	8.3	0	20190628	final20190628v1
2018	4b	22584	3	ESCUELA PARTICULAR MI FUTURO	14	Región de Los Ríos	141	VALDI	14106	Mariq	141	VALDI	3	2	1	2	7	7	263	187	32	-18	12	-50	1	0	0	-1											0	20190628	final20190628v1
2018	4b	22588	6	COLEGIO CRISTIANO BELEN	14	Región de Los Ríos	141	VALDI	14101	Valdi	141	VALDI	3	2	3	1	41	40	283	262	8	-4	11	1	0	0	1	0					22	19.5	58.5	25	57.5	17.5	0	20190628	final20190628v1
2018	4b	22596	7	CENTRO INCLUSIVO DE PARVULOS INALUN	10	Región de Los Lagos	102	CHILO	10201	Castr	102	CHILO	3	2	3	1	22	22	283	266	27	8	11	5	1	0	1	0					18.2	27.3	54.5	27.3	54.5	18.2	0	20190628	final20190628v1
2018	4b	22602	5	SAINT PAUL COLLEGE	10	Región de Los Lagos	101	LLANQ	10107	Llanq	101	LLANQ	3	2	3	1	29	29	282	249	15	-4	10	-12	1	0	1	-1					13.8	34.5	51.7	44.8	41.4	13.8	0	20190628	final20190628v1
2018	4b	22606	8	ESCUELA INTEGRADA JUAN PABLO II	10	Región de Los Lagos	101	LLANQ	10108	Maull	101	LLANQ	3	2	1	1	7	7	232	215	29	12	-19	-22	0	0	-1	-1											0	20190628	final20190628v1
2018	4b	22608	4	COLEGIO EL LABRADOR	10	Región de Los Lagos	103	OSORN	10301	Osorn	103	OSORN	3	2	2	1	33	33	279	275	8	9	20	27	0	0	1	1					21.2	33.3	45.5	36.4	27.3	36.4	0	20190628	final20190628v1
2018	4b	22609	2	COLEGIO CHILENO NORTEAMERICANO	10	Región de Los Lagos	101	LLANQ	10101	Puert	101	LLANQ	3	2	4	1	29	29	289	270	-7	5	3	-4	0	0	0	0					13.8	31	55.2	31	41.4	27.6	0	20190628	final20190628v1
2018	4b	22610	6	ESCUELA PARTICULAR NIDO DE CISNES	10	Región de Los Lagos	102	CHILO	10205	Dalca	102	CHILO	3	2	2	2	34	34	292	302	0	9	33	54	0	0	1	1					8.8	23.5	67.6	2.9	38.2	58.8	0	20190628	final20190628v1
2018	4b	22612	2	CENTRO EDUCACIONAL GARYES	10	Región de Los Lagos	102	CHILO	10202	Ancud	102	CHILO	3	2	2	1	24	24	276	237	-1	-5	17	-11	0	0	1	-1					29.2	20.8	50	54.2	41.7	4.2	0	20190628	final20190628v1
2018	4b	22613	0	ESCUELA PARTICULAR CRECER	14	Región de Los Ríos	142	DEL R	14201	La Un	142	RANCO	3	2		2																							1	20190628	final20190628v1
2018	4b	22615	7	ESCUELA PARTICULAR OMILEN ANTU	10	Región de Los Lagos	102	CHILO	10202	Ancud	102	CHILO	3	2	2	2	6	6	254	251	-16	17	-5	3	0	0	0	0											0	20190628	final20190628v1
2018	4b	22616	5	COLEGIO MOZART	10	Región de Los Lagos	101	LLANQ	10101	Puert	101	LLANQ	3	2	2	1	31	31	267	246	44	35	8	-2	1	1	1	0					25.8	38.7	35.5	41.9	48.4	9.7	0	20190628	final20190628v1
